model,accuracy,f1,precision,recall,roc_auc
dummy_most_frequent,0.7294871794871794,0.0,0.0,0.0,0.5
logreg_balanced,0.8641025641025641,0.7992424242424242,0.6656151419558359,1.0,0.9093195845376023
